dir_name,thread_num,total_read_time(ms),total_read_time(s),
/mnt/beegfs/test_dir_4KB_10428,2,5875,5.875
/mnt/beegfs/test_dir_4KB_10428,4,2837,2.837
/mnt/beegfs/test_dir_4KB_10428,8,1408,1.408
/mnt/beegfs/test_dir_4KB_10428,16,593,0.593
/mnt/beegfs/test_dir_4KB_10428,32,269,0.269
/mnt/beegfs/test_dir_4KB_10428,64,394,0.394
/mnt/beegfs/test_dir_4KB_10428,128,662,0.662
/mnt/beegfs/test_dir_4KB_10428,256,1474,1.474
/mnt/beegfs/test_dir_4KB_10428,512,3066,3.066
/mnt/beegfs/test_dir_4KB_10428,1024,7538,7.538
/mnt/beegfs/test_dir_4KB_10428,1,9379,9.379
/mnt/beegfs/test_dir_4KB_10428,2,5457,5.457
/mnt/beegfs/test_dir_4KB_10428,4,3080,3.08
/mnt/beegfs/test_dir_4KB_10428,8,1657,1.657
/mnt/beegfs/test_dir_4KB_10428,16,726,0.726
/mnt/beegfs/test_dir_4KB_10428,32,475,0.475
/mnt/beegfs/test_dir_4KB_10428,64,371,0.371
/mnt/beegfs/test_dir_4KB_10428,128,728,0.728
/mnt/beegfs/test_dir_4KB_10428,256,1685,1.685
/mnt/beegfs/test_dir_4KB_10428,512,3224,3.224
/mnt/beegfs/test_dir_4KB_10428,1024,7887,7.887
/mnt/beegfs/test_dir_4KB_10428,1,8903,8.903
/mnt/beegfs/test_dir_4KB_10428,2,5861,5.861
/mnt/beegfs/test_dir_4KB_10428,4,2682,2.682
/mnt/beegfs/test_dir_4KB_10428,8,1531,1.531
/mnt/beegfs/test_dir_4KB_10428,16,761,0.761
/mnt/beegfs/test_dir_4KB_10428,32,445,0.445
/mnt/beegfs/test_dir_4KB_10428,64,375,0.375
/mnt/beegfs/test_dir_4KB_10428,128,663,0.663
/mnt/beegfs/test_dir_4KB_10428,256,1505,1.505
/mnt/beegfs/test_dir_4KB_10428,512,2937,2.937
/mnt/beegfs/test_dir_4KB_10428,1024,7299,7.299
