batch_size,worker_num,prefetch_factor,batch_idx,data_time,training_time
512,16,1,79,0.6264262199401855,0.08919978141784668
512,16,1,80,0.5996921062469482,0.08993315696716309
512,16,1,81,0.6251306533813477,0.09044337272644043
512,16,1,82,0.6551101207733154,0.08997678756713867
512,16,1,83,0.5876941680908203,0.08903837203979492
512,16,1,84,0.6523492336273193,0.088714599609375
512,16,1,85,0.6690924167633057,0.08867955207824707
512,16,1,86,0.6283209323883057,0.08828186988830566
512,16,1,87,0.6634845733642578,0.08958959579467773
512,16,1,88,0.6486015319824219,0.09188723564147949
512,16,1,89,0.628251314163208,0.09081840515136719
512,16,1,90,0.5925064086914062,0.09073448181152344
512,16,1,91,0.6713638305664062,0.08982586860656738
512,16,1,92,0.6745283603668213,0.09002470970153809
512,16,1,93,0.5963003635406494,0.08991789817810059
512,16,1,94,0.6309261322021484,0.09155917167663574
512,16,1,95,0.6546881198883057,0.08704185485839844
512,16,1,96,0.6253237724304199,0.08757162094116211
512,16,1,97,0.6586380004882812,0.0892798900604248
512,16,1,98,0.6633360385894775,0.08791875839233398
512,16,1,99,0.6436014175415039,0.08955550193786621
512,16,1,100,0.6553821563720703,0.08863258361816406
512,16,1,101,0.6692352294921875,0.09106802940368652
512,16,1,102,0.6479010581970215,0.0896906852722168
512,16,1,103,0.6182708740234375,0.08723187446594238
512,16,1,104,0.6393871307373047,0.09255051612854004
512,16,1,105,0.6858115196228027,0.09169840812683105
512,16,1,106,0.6258406639099121,0.08838772773742676
512,16,1,107,0.6987655162811279,0.0901956558227539
512,16,1,108,0.6299290657043457,0.09036946296691895
512,16,1,109,0.6303572654724121,0.09019804000854492
512,16,1,110,0.6532261371612549,0.08936810493469238
512,16,1,111,0.6359648704528809,0.08945417404174805
512,16,1,112,0.6998300552368164,0.08958721160888672
512,16,1,113,0.6398601531982422,0.08912038803100586
512,16,1,114,0.6608750820159912,0.08936119079589844
512,16,1,115,0.6593978404998779,0.08661150932312012
512,16,1,116,0.6254942417144775,0.0905001163482666
512,16,1,117,0.6602401733398438,0.09198856353759766
512,16,1,118,0.6388113498687744,0.09117341041564941
512,16,1,119,0.6366667747497559,0.09128570556640625
512,16,1,120,0.6212649345397949,0.09013867378234863
512,16,1,121,0.6005861759185791,0.0876762866973877
512,16,1,122,0.6187922954559326,0.08848762512207031
512,16,1,123,0.6235723495483398,0.29888129234313965
512,16,1,124,0.37636733055114746,0.08940839767456055
512,16,1,125,0.6513962745666504,0.08948230743408203
512,16,1,126,0.6020526885986328,0.09112691879272461
512,16,1,127,0.6802527904510498,0.08928823471069336
512,16,1,128,0.6342284679412842,0.09004855155944824
512,16,1,129,0.6124954223632812,0.09051203727722168
512,16,1,130,0.6364378929138184,0.0894930362701416
512,16,1,131,0.600461483001709,0.08924984931945801
512,16,1,132,0.6254167556762695,0.0904688835144043
512,16,1,133,0.5612373352050781,0.08963322639465332
512,16,1,134,0.6876461505889893,0.08834719657897949
