batch_size,worker_num,prefetch_factor,batch_idx,data_time,training_time
64,16,1,48,0.0185546875,0.07525992393493652
64,16,1,49,0.02679896354675293,0.073760986328125
64,16,1,50,0.023408174514770508,0.07530856132507324
64,16,1,51,0.038684844970703125,0.07517242431640625
64,16,1,52,0.02124643325805664,0.07697558403015137
64,16,1,53,0.027472257614135742,0.0746006965637207
64,16,1,54,0.015059471130371094,0.07338905334472656
64,16,1,55,0.019765853881835938,0.07771563529968262
64,16,1,56,0.019224882125854492,0.07153630256652832
64,16,1,57,0.025881290435791016,0.07399344444274902
64,16,1,58,0.027512073516845703,0.08190464973449707
64,16,1,59,0.01701641082763672,0.07543134689331055
64,16,1,60,0.01949620246887207,0.07809162139892578
64,16,1,61,0.028229475021362305,0.07681083679199219
64,16,1,62,0.019852638244628906,0.07729125022888184
64,16,1,63,0.01873493194580078,0.0742945671081543
64,16,1,64,0.02660536766052246,0.07579660415649414
64,16,1,65,0.02903461456298828,0.07452940940856934
64,16,1,66,0.01717519760131836,0.0752260684967041
64,16,1,67,0.024101972579956055,0.07358145713806152
64,16,1,68,0.025046110153198242,0.07112407684326172
64,16,1,69,0.02350592613220215,0.07539963722229004
64,16,1,70,0.02336859703063965,0.077484130859375
64,16,1,71,0.028370141983032227,0.07284092903137207
64,16,1,72,0.011725664138793945,0.07284021377563477
64,16,1,73,0.017401695251464844,0.0919501781463623
64,16,1,74,0.002996683120727539,0.06825590133666992
64,16,1,75,0.0157778263092041,0.07384014129638672
64,16,1,76,0.015930652618408203,0.07215428352355957
64,16,1,77,0.016350507736206055,0.07253170013427734
64,16,1,78,0.0187222957611084,0.07672572135925293
64,16,1,79,0.014400243759155273,0.07595515251159668
64,16,1,80,0.023894548416137695,0.07196211814880371
64,16,1,81,0.02419900894165039,0.07965230941772461
64,16,1,82,0.021032094955444336,0.07529807090759277
64,16,1,83,0.018544912338256836,0.07285284996032715
64,16,1,84,0.013422489166259766,0.07297372817993164
64,16,1,85,0.019933223724365234,0.07573914527893066
64,16,1,86,0.010878562927246094,0.07050061225891113
64,16,1,87,0.03220200538635254,0.07265114784240723
64,16,1,88,0.0330047607421875,0.07458353042602539
64,16,1,89,0.02584242820739746,0.07288980484008789
64,16,1,90,0.024290084838867188,0.07656478881835938
64,16,1,91,0.01981973648071289,0.07680320739746094
64,16,1,92,0.02300238609313965,0.07572150230407715
64,16,1,93,0.021509408950805664,0.07585644721984863
64,16,1,94,0.028734207153320312,0.07275271415710449
64,16,1,95,0.017564058303833008,0.07802414894104004
64,16,1,96,0.023920536041259766,0.07374119758605957
64,16,1,97,0.027390718460083008,0.07409453392028809
