Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
 96 th batch,total_time: 0.502508(1.018477),data_time: 0.350921(0.858392),train_time: 0.151587(0.160085)
 97 th batch,total_time: 0.509080(1.013279),data_time: 0.358343(0.853290),train_time: 0.150738(0.159989)
 98 th batch,total_time: 0.497898(1.008073),data_time: 0.349223(0.848198),train_time: 0.148675(0.159875)
 99 th batch,total_time: 0.509584(1.003088),data_time: 0.354327(0.843259),train_time: 0.155257(0.159829)
 100 th batch,total_time: 0.478896(0.997898),data_time: 0.328134(0.838159),train_time: 0.150763(0.159739)
 101 th batch,total_time: 0.479319(0.992814),data_time: 0.330904(0.833186),train_time: 0.148415(0.159628)
 102 th batch,total_time: 0.506110(0.988089),data_time: 0.359166(0.828584),train_time: 0.146944(0.159505)
 103 th batch,total_time: 0.507666(0.983469),data_time: 0.355529(0.824035),train_time: 0.152137(0.159434)
 104 th batch,total_time: 0.503645(0.978900),data_time: 0.354177(0.819561),train_time: 0.149469(0.159339)
 105 th batch,total_time: 0.504222(0.974422),data_time: 0.354570(0.815174),train_time: 0.149652(0.159248)
 106 th batch,total_time: 0.502672(0.970013),data_time: 0.355201(0.810875),train_time: 0.147471(0.159138)
 107 th batch,total_time: 0.497955(0.965642),data_time: 0.345494(0.806566),train_time: 0.152461(0.159076)
 108 th batch,total_time: 0.516587(0.961522),data_time: 0.366635(0.802530),train_time: 0.149951(0.158992)
 109 th batch,total_time: 0.503040(0.957354),data_time: 0.355397(0.798465),train_time: 0.147643(0.158889)
 110 th batch,total_time: 0.486211(0.953109),data_time: 0.334782(0.794288),train_time: 0.151428(0.158822)
 111 th batch,total_time: 0.523040(0.949270),data_time: 0.366873(0.790471),train_time: 0.156167(0.158798)
 112 th batch,total_time: 0.504196(0.945331),data_time: 0.350095(0.786574),train_time: 0.154102(0.158756)
 113 th batch,total_time: 0.497913(0.941406),data_time: 0.349254(0.782738),train_time: 0.148658(0.158668)
 114 th batch,total_time: 0.504922(0.937611),data_time: 0.357664(0.779042),train_time: 0.147258(0.158569)
 115 th batch,total_time: 0.505638(0.933887),data_time: 0.358687(0.775418),train_time: 0.146951(0.158469)
 116 th batch,total_time: 0.481389(0.930019),data_time: 0.333936(0.771645),train_time: 0.147452(0.158374)
 117 th batch,total_time: 0.480475(0.926209),data_time: 0.334678(0.767942),train_time: 0.145797(0.158268)
 118 th batch,total_time: 0.507416(0.922690),data_time: 0.359571(0.764510),train_time: 0.147845(0.158180)
 119 th batch,total_time: 0.502996(0.919193),data_time: 0.355916(0.761105),train_time: 0.147080(0.158088)
 120 th batch,total_time: 0.504717(0.915767),data_time: 0.358321(0.757776),train_time: 0.146395(0.157991)
 121 th batch,total_time: 0.501253(0.912370),data_time: 0.354558(0.754471),train_time: 0.146695(0.157898)
 122 th batch,total_time: 0.503868(0.909049),data_time: 0.356108(0.751232),train_time: 0.147760(0.157816)
 123 th batch,total_time: 0.502309(0.905768),data_time: 0.355079(0.748038),train_time: 0.147230(0.157731)
 124 th batch,total_time: 0.505695(0.902568),data_time: 0.357048(0.744910),train_time: 0.148647(0.157658)
 125 th batch,total_time: 0.505417(0.899416),data_time: 0.359661(0.741852),train_time: 0.145756(0.157564)
 126 th batch,total_time: 0.485135(0.896154),data_time: 0.337528(0.738669),train_time: 0.147606(0.157485)
 127 th batch,total_time: 0.522709(0.893236),data_time: 0.375378(0.735830),train_time: 0.147331(0.157406)
 128 th batch,total_time: 0.509511(0.890262),data_time: 0.363257(0.732942),train_time: 0.146254(0.157319)
 129 th batch,total_time: 0.507619(0.887318),data_time: 0.360545(0.730078),train_time: 0.147074(0.157241)
 130 th batch,total_time: 0.505048(0.884400),data_time: 0.356858(0.727229),train_time: 0.148190(0.157171)
 131 th batch,total_time: 0.508605(0.881553),data_time: 0.359951(0.724446),train_time: 0.148653(0.157107)
 132 th batch,total_time: 0.482093(0.878550),data_time: 0.335303(0.721520),train_time: 0.146790(0.157029)
 133 th batch,total_time: 0.498583(0.875714),data_time: 0.352061(0.718763),train_time: 0.146522(0.156951)
 134 th batch,total_time: 0.502144(0.872947),data_time: 0.354870(0.716068),train_time: 0.147275(0.156879)
 135 th batch,total_time: 0.516584(0.870327),data_time: 0.369312(0.713518),train_time: 0.147272(0.156809)
 136 th batch,total_time: 0.509977(0.867696),data_time: 0.356905(0.710915),train_time: 0.153072(0.156781)
 137 th batch,total_time: 0.496969(0.865010),data_time: 0.343584(0.708253),train_time: 0.153385(0.156757)
 138 th batch,total_time: 0.502992(0.862405),data_time: 0.350497(0.705679),train_time: 0.152494(0.156726)
 139 th batch,total_time: 0.508332(0.859876),data_time: 0.356495(0.703185),train_time: 0.151837(0.156691)
 140 th batch,total_time: 0.514079(0.857424),data_time: 0.359373(0.700747),train_time: 0.154706(0.156677)
 141 th batch,total_time: 0.507940(0.854963),data_time: 0.355647(0.698317),train_time: 0.152293(0.156646)
 142 th batch,total_time: 0.486754(0.852388),data_time: 0.334849(0.695775),train_time: 0.151905(0.156613)
 143 th batch,total_time: 0.530147(0.850150),data_time: 0.380192(0.693583),train_time: 0.149955(0.156567)
 144 th batch,total_time: 0.517080(0.847853),data_time: 0.365912(0.691323),train_time: 0.151168(0.156530)
 145 th batch,total_time: 0.499110(0.845464),data_time: 0.347490(0.688968),train_time: 0.151620(0.156496)
 146 th batch,total_time: 0.499226(0.843109),data_time: 0.359095(0.686724),train_time: 0.140130(0.156385)
 147 th batch,total_time: 0.519119(0.840920),data_time: 0.371057(0.684591),train_time: 0.148062(0.156328)
 148 th batch,total_time: 0.482748(0.838516),data_time: 0.334452(0.682242),train_time: 0.148296(0.156274)
 149 th batch,total_time: 0.488646(0.836184),data_time: 0.336690(0.679938),train_time: 0.151956(0.156246)
 150 th batch,total_time: 0.499872(0.833956),data_time: 0.350253(0.677755),train_time: 0.149619(0.156202)
 151 th batch,total_time: 0.516978(0.831871),data_time: 0.368111(0.675717),train_time: 0.148867(0.156154)
 152 th batch,total_time: 0.503157(0.829723),data_time: 0.354895(0.673621),train_time: 0.148262(0.156102)
 153 th batch,total_time: 0.503190(0.827602),data_time: 0.353823(0.671544),train_time: 0.149367(0.156058)
 154 th batch,total_time: 0.503711(0.825513),data_time: 0.355909(0.669508),train_time: 0.147802(0.156005)
 78 th batch,total_time: 0.502599(1.136772),data_time: 0.355433(0.975391),train_time: 0.147166(0.161381)
 79 th batch,total_time: 0.500468(1.128818),data_time: 0.353861(0.967622),train_time: 0.146606(0.161197)
 80 th batch,total_time: 0.499880(1.121054),data_time: 0.336410(0.959829),train_time: 0.163469(0.161225)
 81 th batch,total_time: 0.500570(1.113487),data_time: 0.355914(0.952464),train_time: 0.144656(0.161023)
 82 th batch,total_time: 0.502192(1.106122),data_time: 0.335953(0.945036),train_time: 0.166239(0.161085)
 83 th batch,total_time: 0.507522(1.098996),data_time: 0.357183(0.938038),train_time: 0.150339(0.160957)
 84 th batch,total_time: 0.478420(1.091695),data_time: 0.331597(0.930904),train_time: 0.146823(0.160791)
 85 th batch,total_time: 0.498966(1.084802),data_time: 0.353541(0.924190),train_time: 0.145425(0.160612)
 86 th batch,total_time: 0.499053(1.078070),data_time: 0.353612(0.917632),train_time: 0.145441(0.160438)
