batch_size,epoch,total_time,data_time,data_whole_time,training_time
512,0,23.644651412963867,20.82343101501465,21.14330792427063,2.5013434886932373
512,0,20.835976362228394,18.032009840011597,18.33003878593445,2.5059375762939453
512,0,20.329875230789185,17.451188325881958,17.830798387527466,2.4990768432617188
512,0,19.721890211105347,16.905667781829834,17.221787929534912,2.5001022815704346
512,1,19.15367078781128,16.760975122451782,17.076964378356934,2.0767064094543457
512,2,19.70128107070923,17.297635793685913,17.61463761329651,2.0866434574127197
512,3,18.78553795814514,16.38141393661499,16.704291343688965,2.0812466144561768
512,4,18.401990175247192,16.00440287590027,16.322360277175903,2.079629898071289
512,5,18.73944640159607,16.284522533416748,16.650773286819458,2.0886731147766113
512,6,18.91751980781555,16.531705856323242,16.838234901428223,2.079284906387329
512,7,19.412920475006104,17.00622296333313,17.321731328964233,2.09118914604187
512,8,18.65908145904541,16.262630939483643,16.579532861709595,2.0795485973358154
512,9,18.86561417579651,16.467248916625977,16.777689218521118,2.0879249572753906
256,0,19.035707712173462,16.24126362800598,16.61527919769287,2.420428514480591
256,1,18.58198571205139,16.142130851745605,16.478267431259155,2.1037182807922363
256,2,19.610584497451782,17.152412176132202,17.507415771484375,2.1031687259674072
256,3,18.3295419216156,15.871416330337524,16.226196765899658,2.1033451557159424
256,4,18.84753108024597,16.390265703201294,16.744916677474976,2.102614402770996
256,5,19.3685040473938,16.872997760772705,17.264248847961426,2.104255199432373
256,6,18.69464087486267,16.237311601638794,16.5917911529541,2.1028497219085693
256,7,18.805092096328735,16.339523315429688,16.702263593673706,2.1028285026550293
256,8,19.77901530265808,17.284245252609253,17.67642593383789,2.1025893688201904
256,9,19.57158589363098,17.107752799987793,17.468722581863403,2.102863311767578
256,4,0,6.413288116455078,3.4225687980651855,4.00058650970459,2.4127016067504883
256,8,0,4.935784816741943,1.9540750980377197,2.505182981491089,2.4306018352508545
256,16,0,4.7169294357299805,1.7551674842834473,2.29335618019104,2.4235732555389404
256,32,0,5.163225173950195,2.168875217437744,2.7406258583068848,2.4225993156433105
256,40,0,4.960641622543335,1.9630210399627686,2.536536693572998,2.424104928970337
256,64,0,5.323267221450806,2.3514275550842285,2.894833564758301,2.428433656692505
256,128,0,6.129595756530762,3.0139758586883545,3.615919828414917,2.5136759281158447
512,1,0,19.877516269683838,16.857187509536743,17.356699228286743,2.5208170413970947
512,2,0,11.795605421066284,8.806171894073486,9.338330030441284,2.457275390625
512,4,0,8.11563229560852,5.087946891784668,5.598561525344849,2.517070770263672
512,8,0,6.481182336807251,3.5016942024230957,3.9743547439575195,2.5068275928497314
512,16,0,6.701101541519165,3.679724931716919,4.1923668384552,2.508734703063965
512,32,0,6.9054906368255615,3.894991159439087,4.388628244400024,2.516862392425537
512,40,0,6.9097740650177,3.8840901851654053,4.3782830238342285,2.5314910411834717
512,64,0,7.2826642990112305,4.221185207366943,4.744854927062988,2.537809371948242
512,128,0,7.780383348464966,4.6557488441467285,5.170039176940918,2.610344171524048
256,0,0,9.187612056732178,6.117401361465454,6.432162523269653,2.7554495334625244
256,0,1,4.133095979690552,1.6345539093017578,1.9494528770446777,2.183643102645874
256,0,2,3.8459742069244385,1.3545467853546143,1.6641533374786377,2.181820869445801
256,0,3,3.847303628921509,1.3509156703948975,1.6606464385986328,2.186657190322876
256,0,4,3.864206314086914,1.368797779083252,1.678818702697754,2.18538761138916
256,0,5,3.851905107498169,1.3549129962921143,1.6659979820251465,2.1859071254730225
256,0,6,3.867976665496826,1.3678994178771973,1.6814465522766113,2.186530113220215
256,0,7,3.858588933944702,1.3595597743988037,1.673499345779419,2.185089588165283
256,0,8,3.8796679973602295,1.378950595855713,1.6938245296478271,2.1858434677124023
256,0,9,3.849517822265625,1.351062536239624,1.6675419807434082,2.181975841522217
256,1,0,3.1132020950317383,0.2706315517425537,0.6923842430114746,2.4208178520202637
256,1,1,2.892345428466797,0.28325772285461426,0.7067680358886719,2.185577392578125
