batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
64,2,3,0.20835664693047018,0.039009935715619254,0.8422990878625215,0.003092050552368164,0.8316755294799805,0.0038552284240722656,0.6432557106018066,0.027287721633911133,0.5282618999481201,0.028789997100830078,0.29595208168029785,0.0030721122143315335,0.0029861927032470703,0.0038976669311523438,0.0030853748321533203,0.0035445690155029297
64,2,4,0.2116233461043414,0.03886696871589212,0.8448364411063745,0.0030786991119384766,0.8227982521057129,0.0038132667541503906,0.6553263664245605,0.027254104614257812,0.5283849239349365,0.028711795806884766,0.2960541248321533,0.0030715372048172296,0.0029888153076171875,0.0039064884185791016,0.003085613250732422,0.0035212039947509766
64,4,1,0.08957931574653177,0.039905431223850624,0.6918136525147757,0.003103017807006836,0.8551106452941895,0.02959465980529785,0.584126353263855,0.028123855590820312,0.5369410514831543,0.029287099838256836,0.3002814054489136,0.0030983382580327054,0.00299072265625,0.004271984100341797,0.00305938720703125,0.004086613655090332
64,4,2,0.07223229782254088,0.04173454583859911,0.6338009854630238,0.003111600875854492,0.9000449180603027,0.003557443618774414,0.572962760925293,0.02731156349182129,0.6668281555175781,0.028787612915039062,0.36491119861602783,0.003063664716832778,0.0029892921447753906,0.003979921340942383,0.0030252933502197266,0.0035560131072998047
64,4,3,0.07261883043775372,0.040573564230227004,0.6415522054353688,0.0030858516693115234,0.9241201877593994,0.0031571388244628906,0.6083457469940186,0.02723979949951172,0.637042760848999,0.027674436569213867,0.3501276969909668,0.003039289923275218,0.0029861927032470703,0.003987550735473633,0.003000020980834961,0.0035533905029296875
64,4,4,0.06806477845883836,0.040684017480588426,0.6258899500528771,0.0030961036682128906,0.8933298587799072,0.003168821334838867,0.5756274461746216,0.02733302116394043,0.6330249309539795,0.027767181396484375,0.3477447032928467,0.0030427960788502414,0.002986907958984375,0.0036325454711914062,0.0030024051666259766,0.00350034236907959
64,8,1,0.027387815363266888,0.03982170890359318,0.4074990213369413,0.003088235855102539,1.020472526550293,0.0032312870025634766,0.5420088768005371,0.0277097225189209,0.5339202880859375,0.02919769287109375,0.2985343933105469,0.003035755718455595,0.002989053726196289,0.00403285026550293,0.003010272979736328,0.003566741943359375
64,8,2,0.020803236493877338,0.050689987107819204,0.29098193431277414,0.003098726272583008,0.8978431224822998,0.003217458724975586,0.4507242441177368,0.02304697036743164,1.0720031261444092,0.0299985408782959,0.5674692392349243,0.0030310434453627642,0.002994060516357422,0.0040874481201171875,0.0030083656311035156,0.003576040267944336
64,8,3,0.020010695737950942,0.05537617440317191,0.26544006536537834,0.003116130828857422,0.8585608005523682,0.003193378448486328,0.43098974227905273,0.027588367462158203,1.3766181468963623,0.028146028518676758,0.7182884216308594,0.0030278972550934436,0.0029897689819335938,0.00392460823059082,0.0030057430267333984,0.0035049915313720703
64,8,4,0.022923072179158527,0.055106401443481445,0.29377453306961027,0.003126382827758789,1.0035367012023926,0.003291606903076172,0.5035959482192993,0.024557113647460938,1.2153937816619873,0.03023386001586914,0.6601917743682861,0.0030367234173943013,0.0029993057250976562,0.003960371017456055,0.0030117034912109375,0.003558039665222168
64,16,1,0.02322534953846651,0.04915168238621132,0.32089392063820654,0.0030989646911621094,1.0153040885925293,0.003355741500854492,0.5097929239273071,0.028194904327392578,0.9680843353271484,0.029951095581054688,0.515589714050293,0.0030516876893884994,0.0029888153076171875,0.004163503646850586,0.0030298233032226562,0.003632068634033203
64,16,2,0.034511257620418775,0.05138491181766286,0.401778773677402,0.003099203109741211,1.5942223072052002,0.003266572952270508,0.7991937398910522,0.02796649932861328,1.1195652484893799,0.02903127670288086,0.5909686088562012,0.00304411906822055,0.0029914379119873047,0.004081010818481445,0.0030231475830078125,0.0036039352416992188
64,16,3,0.020716237086875765,0.0661621794981115,0.23845090531329463,0.0031273365020751953,0.8880181312561035,0.003298521041870117,0.44599449634552,0.024666309356689453,1.6082184314727783,0.030599594116210938,0.8624045848846436,0.0030497335920146866,0.0029959678649902344,0.004265785217285156,0.003016948699951172,0.003682374954223633
64,16,4,0.028728326161702473,0.06350064745136336,0.3114891669751013,0.003118753433227539,1.2989778518676758,0.003291606903076172,0.6514065265655518,0.02228999137878418,1.558835744857788,0.028389930725097656,0.8182936906814575,0.003048415277518478,0.0029942989349365234,0.004136800765991211,0.0030150413513183594,0.003642559051513672
64,32,1,0.030167102813720703,0.059852913314220955,0.33511550109972726,0.003151416778564453,1.3727445602416992,0.003236532211303711,0.6883814334869385,0.027859926223754883,1.5447676181793213,0.028601884841918945,0.8079371452331543,0.003043371088364545,0.0029964447021484375,0.004098176956176758,0.0030121803283691406,0.003612518310546875
64,32,2,0.02797546106226304,0.07179804876738903,0.28038966565400814,0.003154277801513672,1.2604010105133057,0.003302335739135742,0.6321063041687012,0.023342370986938477,1.725677728652954,0.031664133071899414,0.9212245941162109,0.00305936850753485,0.0029981136322021484,0.004699230194091797,0.0030205249786376953,0.003929734230041504
64,32,3,0.03114935931037454,0.06807240317849551,0.3139367667840877,0.003098011016845703,1.4153077602386475,0.003370523452758789,0.7098686695098877,0.027640819549560547,1.3236572742462158,0.051085472106933594,0.6989197731018066,0.0030602333592433554,0.0029871463775634766,0.004191160202026367,0.0030350685119628906,0.0036668777465820312
64,32,4,0.059114788092818914,0.07335517920699774,0.44625049207587997,0.003164529800415039,2.8447861671447754,0.003286600112915039,1.4253365993499756,0.02711176872253418,1.4770147800445557,0.050878286361694336,0.7757750749588013,0.0030869923385919307,0.0029976367950439453,0.005406856536865234,0.003017425537109375,0.004622220993041992
128,1,1,1.0207934239331413,0.054337015338972505,0.9494600716767354,0.8089621067047119,1.4463858604431152,1.018479347229004,1.3008590936660767,0.0393984317779541,0.47370433807373047,0.04436087608337402,0.2932016849517822,0.006072848450903799,0.006046295166015625,0.006796121597290039,0.006056785583496094,0.006437182426452637
128,1,2,0.9483334737665513,0.05193477518418256,0.9480791525286727,0.7313683032989502,1.4320344924926758,0.9325501918792725,1.2353435754776,0.04138541221618652,0.44400691986083984,0.04252338409423828,0.27868056297302246,0.006148062500299192,0.006036281585693359,0.008593320846557617,0.0060558319091796875,0.008338212966918945
128,1,3,1.0208457123999501,0.054296016693115234,0.9494987356328206,0.7905426025390625,1.5385358333587646,1.0132348537445068,1.316143274307251,0.044348955154418945,0.4661824703216553,0.044584035873413086,0.2895979881286621,0.006110336266311945,0.006084442138671875,0.006864309310913086,0.006090402603149414,0.006507992744445801
128,1,4,0.976094643274943,0.05399332327001235,0.9475837743730637,0.735069990158081,1.4155864715576172,0.9736137390136719,1.2266875505447388,0.044183969497680664,0.4595627784729004,0.044466257095336914,0.28606855869293213,0.006071095373116287,0.0060122013092041016,0.006830692291259766,0.0060541629791259766,0.0064591169357299805
128,2,1,0.4661431499555999,0.05536582423191445,0.893835337506566,0.006171703338623047,1.4320707321166992,0.4612295627593994,1.0275623798370361,0.04425501823425293,0.5199651718139648,0.04453253746032715,0.31604063510894775,0.006077200758690927,0.005955219268798828,0.006872653961181641,0.006058692932128906,0.0064955949783325195
128,2,2,0.42923200831693764,0.05547609983706007,0.885547406977903,0.006055593490600586,1.4192836284637451,0.5597214698791504,1.1448519229888916,0.043810367584228516,0.5384068489074707,0.0444035530090332,0.32826876640319824,0.006024524277331782,0.005936861038208008,0.006986141204833984,0.006041765213012695,0.006611227989196777
128,2,3,0.42970553566427794,0.05509367643618116,0.8863577434511903,0.0060732364654541016,1.4659216403961182,0.3974301815032959,1.221943974494934,0.04348158836364746,0.5276041030883789,0.04415535926818848,0.3227797746658325,0.0060224579829795686,0.005939483642578125,0.006850719451904297,0.00603938102722168,0.0065021514892578125
128,2,4,0.4309229570276597,0.05333707379359825,0.8898586081879527,0.006058454513549805,1.5112237930297852,0.44195985794067383,1.2035166025161743,0.03846025466918945,0.4656331539154053,0.04439234733581543,0.29038548469543457,0.006049525504018746,0.005939960479736328,0.0073125362396240234,0.00604701042175293,0.00708615779876709
