batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,data_whole_time,training_time
16,0,2,0,16.889465808868408,13.1910400390625,13.191116571426392,3.6983492374420166
16,0,1,0,16.830071449279785,13.147539854049683,13.147615432739258,3.6824560165405273
16,0,1,1,16.078774452209473,13.035213708877563,13.035294532775879,3.0434799194335938
16,0,2,0,16.406261444091797,12.714881181716919,12.714955806732178,3.691305637359619
16,0,2,1,15.122485876083374,12.077731370925903,12.077816009521484,3.0446698665618896
16,0,3,0,16.609804153442383,12.91377067565918,12.91384768486023,3.6959564685821533
16,0,3,1,15.710771083831787,12.658390283584595,12.658471584320068,3.0522994995117188
16,0,4,0,17.081734657287598,13.38742446899414,13.387511253356934,3.694223403930664
16,0,4,1,16.16435980796814,13.114333868026733,13.114410400390625,3.0499494075775146
16,1,1,0,14.741769790649414,10.996835947036743,10.996921300888062,3.7448484897613525
16,1,1,1,13.0412278175354,9.93558669090271,9.935692071914673,3.1055357456207275
16,1,2,0,13.281095743179321,9.556500673294067,9.556564807891846,3.7245309352874756
16,1,2,1,12.75470232963562,9.648671865463257,9.648725509643555,3.1059768199920654
16,1,3,0,13.04007601737976,9.49250316619873,9.492566585540771,3.5475094318389893
16,1,3,1,12.572736263275146,9.652944564819336,9.653015851974487,2.919720411300659
16,1,4,0,13.034299612045288,9.470235347747803,9.470305681228638,3.5639939308166504
16,1,4,1,11.8207266330719,8.833484888076782,8.833563089370728,2.987163543701172
16,2,1,0,7.217538595199585,3.6622016429901123,3.6622579097747803,3.5552806854248047
16,2,1,1,6.50007438659668,3.5753743648529053,3.5754311084747314,2.9246432781219482
16,2,2,0,6.712232828140259,3.1428465843200684,3.142895221710205,3.5693376064300537
16,2,2,1,6.228929758071899,3.3080761432647705,3.30812668800354,2.9208030700683594
16,2,3,0,6.826136589050293,3.2733969688415527,3.273452043533325,3.5526845455169678
16,2,3,1,6.17575478553772,3.2633979320526123,3.263460159301758,2.912294626235962
16,2,4,0,6.665000915527344,3.0856518745422363,3.0857160091400146,3.579284906387329
16,2,4,1,6.11590313911438,3.1890084743499756,3.1890692710876465,2.9268338680267334
16,4,1,0,3.940722703933716,0.3851494789123535,0.38519930839538574,3.55552339553833
16,4,1,1,3.264296531677246,0.33852648735046387,0.3385770320892334,2.9257194995880127
16,4,2,0,3.850520133972168,0.2828404903411865,0.28288888931274414,3.567631244659424
16,4,2,1,3.0652389526367188,0.1418297290802002,0.141876220703125,2.9233627319335938
16,4,3,0,3.8484034538269043,0.28752756118774414,0.28757238388061523,3.560831069946289
16,4,3,1,3.2649993896484375,0.3505864143371582,0.3506307601928711,2.9143686294555664
16,4,4,0,3.8755955696105957,0.2827887535095215,0.2828352451324463,3.5927603244781494
16,4,4,1,3.0734779834747314,0.15413308143615723,0.15418171882629395,2.9192962646484375
16,8,1,0,3.888373374938965,0.3246805667877197,0.32473301887512207,3.5636403560638428
16,8,1,1,3.074512481689453,0.15575218200683594,0.15580344200134277,2.9187090396881104
16,8,2,0,3.930882215499878,0.34885644912719727,0.3489093780517578,3.58197283744812
16,8,2,1,3.0685579776763916,0.15284991264343262,0.15289640426635742,2.915661573410034
16,8,3,0,3.9481871128082275,0.345090389251709,0.3451364040374756,3.603050708770752
16,8,3,1,3.079167366027832,0.16303443908691406,0.16308140754699707,2.916085958480835
16,8,4,0,4.00191068649292,0.3270277976989746,0.32708311080932617,3.6748275756835938
16,8,4,1,3.091423273086548,0.16663122177124023,0.16668128967285156,2.9247419834136963
16,16,1,0,4.004669427871704,0.4417693614959717,0.4418210983276367,3.5628483295440674
16,16,1,1,3.109041690826416,0.18955302238464355,0.18960833549499512,2.919433355331421
16,16,2,0,4.040172338485718,0.4095165729522705,0.40957117080688477,3.630601167678833
16,16,2,1,3.075395107269287,0.15316200256347656,0.15321636199951172,2.9221787452697754
16,16,3,0,4.21079158782959,0.4999356269836426,0.4999871253967285,3.7108044624328613
16,16,3,1,3.128462791442871,0.20630788803100586,0.20636558532714844,2.9220972061157227
16,16,4,0,4.2121052742004395,0.522627592086792,0.5226764678955078,3.6894288063049316
16,16,4,1,3.161370038986206,0.22568488121032715,0.2257387638092041,2.935631275177002
