batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,data_whole_time,training_time
512,8,1,2,4.027303218841553,3.821261167526245,3.9414680004119873,0.08583521842956543
512,8,1,0,8.226658344268799,5.6902687549591064,5.811176538467407,2.4154818058013916
512,8,1,1,6.501518726348877,4.2289252281188965,4.349264621734619,2.152254104614258
512,8,1,2,6.83141827583313,4.558261871337891,4.678734302520752,2.152683973312378
512,8,1,0,7.942326545715332,5.395460844039917,5.5164971351623535,2.4258294105529785
512,8,1,1,6.086972713470459,3.8114564418792725,3.9318594932556152,2.1551132202148438
512,8,1,2,6.215191841125488,3.9401133060455322,4.060312032699585,2.1548798084259033
512,8,1,0,8.012972116470337,5.4547364711761475,5.5758233070373535,2.4371488094329834
512,8,1,1,6.397148609161377,4.118035316467285,4.23828649520874,2.1588621139526367
512,8,1,2,6.521543025970459,4.245055198669434,4.365201234817505,2.156341791152954
512,8,1,0,7.215360403060913,5.951035261154175,6.07226037979126,1.1431000232696533
512,8,1,1,4.793353319168091,4.591524600982666,4.712028741836548,0.08132457733154297
512,8,1,2,4.59532356262207,4.394888401031494,4.515122175216675,0.08020138740539551
512,0,1,0,19.03072500228882,17.552197694778442,17.847420692443848,1.1833043098449707
512,0,1,1,17.201902627944946,16.85542917251587,17.10675859451294,0.09514403343200684
512,0,1,2,16.960108757019043,16.597595930099487,16.86430835723877,0.09580039978027344
512,0,1,0,18.358297109603882,16.868396759033203,17.181894302368164,1.1764028072357178
512,0,1,1,16.997116327285767,16.655704975128174,16.90648651123047,0.09062981605529785
512,0,1,2,16.139636039733887,15.800493955612183,16.048033237457275,0.09160280227661133
512,0,1,0,18.499907970428467,17.032730102539062,17.32621741294861,1.1736905574798584
512,0,1,1,17.022123336791992,16.675408363342285,16.924060344696045,0.09806299209594727
512,0,1,2,16.799847841262817,16.45283341407776,16.698347091674805,0.1015007495880127
512,0,1,0,19.85520911216736,17.12258791923523,17.420904636383057,2.4343044757843018
512,0,1,1,18.45366859436035,16.049236297607422,16.295666933059692,2.158001661300659
512,0,1,2,18.786797285079956,16.336768627166748,16.61740231513977,2.1693949699401855
512,0,1,0,19.43825340270996,16.777987718582153,17.0246524810791,2.4136009216308594
512,0,1,1,18.812927722930908,16.405177116394043,16.652735233306885,2.1601924896240234
512,0,1,2,18.855551719665527,16.43744683265686,16.683691263198853,2.171860456466675
512,0,1,0,19.561922550201416,0,17.131858348846436,2.4300642013549805
512,0,1,1,18.55195951461792,0,16.419334173202515,2.1326253414154053
512,0,1,2,17.94313669204712,0,15.819309711456299,2.1238269805908203
512,0,1,0,19.17976403236389,0,16.739821195602417,2.4399428367614746
512,0,1,0,19.435632705688477,0,17.002527952194214,2.4331047534942627
