model,batchsize,blocknum,threadnum,SMACT,SMOCC,DRAMA,GPU_Util,index
resnet18,128,0,4,0.96,0.602,0.669,99,99th
resnet50,32,0,1,0.318072,0.136453,0.165887,35.6275,mean
resnet50,32,0,1,0.918,0.432,0.555,60,95th
resnet50,32,0,1,0.927,0.473,0.628,60,99th
shufflenet_v2_x1_0,128,0,8,0.308193,0.152674,0.187921,40.8909,mean
shufflenet_v2_x1_0,128,0,8,0.882,0.441,0.554,96,95th
shufflenet_v2_x1_0,128,0,8,0.903,0.481,0.646,97,99th
resnet50,16,0,1,0.312029,0.127971,0.152729,35.9042,mean
resnet50,16,0,1,0.888,0.382,0.48,45,95th
resnet50,16,0,1,0.899,0.401,0.54,48,99th
resnet50,16,0,8,0.815918,0.3348,0.39964,94.1905,mean
resnet50,16,0,8,0.896,0.408,0.542,96,95th
resnet50,16,0,8,0.902,0.414,0.568,97,99th
shufflenet_v2_x1_0,256,0,2,0.0802856,0.0410708,0.0513942,10.2917,mean
shufflenet_v2_x1_0,256,0,2,0.875,0.431,0.514,69,95th
shufflenet_v2_x1_0,256,0,2,0.925,0.513,0.668,73,99th
shufflenet_v2_x1_0,256,0,4,0.163846,0.0838303,0.104953,21.0582,mean
shufflenet_v2_x1_0,256,0,4,0.911,0.49,0.567,98,95th
shufflenet_v2_x1_0,256,0,4,0.936,0.524,0.697,99,99th
mobilenet_v2,128,0,2,0.226881,0.128815,0.144331,26.7528,mean
mobilenet_v2,128,0,2,0.937,0.574,0.667,95,95th
mobilenet_v2,128,0,2,0.959,0.646,0.773,99,99th
resnet50,32,0,8,0.858521,0.368661,0.448568,96.3266,mean
resnet50,32,0,8,0.925,0.457,0.607,98,95th
resnet50,32,0,8,0.929,0.481,0.634,98,99th
resnet50,256,0,16,0.924405,0.420084,0.513949,99.2053,mean
resnet50,256,0,16,0.986,0.671,0.747,100,95th
resnet50,256,0,16,0.993,0.83,0.834,100,99th
resnet18,256,0,16,0.868083,0.360555,0.446113,97.4846,mean
resnet18,256,0,16,0.976,0.575,0.681,100,95th
resnet18,256,0,16,0.999,0.845,0.757,100,99th
mobilenet_v2,32,0,8,0.699955,0.372281,0.404283,87.0332,mean
mobilenet_v2,32,0,8,0.885,0.545,0.632,91,95th
mobilenet_v2,32,0,8,0.894,0.555,0.661,92,99th
resnet50,16,0,16,0.814887,0.334359,0.399405,93.9206,mean
resnet50,16,0,16,0.896,0.407,0.542,98,95th
resnet50,16,0,16,0.902,0.414,0.577,98,99th
resnet18,64,0,1,0.0984845,0.0358804,0.0494416,11.0824,mean
resnet18,64,0,1,0.905,0.295,0.455,38,95th
resnet18,64,0,1,0.926,0.428,0.521,39,99th
mobilenet_v2,256,0,1,0.115671,0.0665194,0.0754594,13.5449,mean
mobilenet_v2,256,0,1,0.937,0.574,0.605,99,95th
mobilenet_v2,256,0,1,0.965,0.678,0.776,100,99th
resnet18,16,0,4,0.387325,0.143401,0.197555,46.573,mean
resnet18,16,0,4,0.846,0.301,0.422,53,95th
resnet18,16,0,4,0.876,0.313,0.437,54,99th
mobilenet_v2,32,0,4,0.460885,0.245007,0.266218,57.4095,mean
mobilenet_v2,32,0,4,0.871,0.479,0.573,77,95th
mobilenet_v2,32,0,4,0.892,0.546,0.643,87,99th
mobilenet_v2,64,0,1,0.11372,0.0628669,0.0697327,13.502,mean
mobilenet_v2,64,0,1,0.901,0.512,0.519,48,95th
mobilenet_v2,64,0,1,0.921,0.595,0.726,48,99th
mobilenet_v2,256,0,16,0.833788,0.479422,0.543376,98.118,mean
mobilenet_v2,256,0,16,0.976,0.702,0.793,100,95th
mobilenet_v2,256,0,16,1,0.78,0.836,100,99th
shufflenet_v2_x1_0,128,0,16,0.669378,0.331484,0.408174,89.0675,mean
shufflenet_v2_x1_0,128,0,16,0.897,0.474,0.633,97,95th
shufflenet_v2_x1_0,128,0,16,0.904,0.492,0.658,97,99th
resnet50,32,0,4,0.859786,0.368535,0.447606,96.4572,mean
resnet50,32,0,4,0.925,0.458,0.607,98,95th
resnet50,32,0,4,0.929,0.482,0.634,98,99th
shufflenet_v2_x1_0,64,0,4,0.161262,0.0772934,0.0899982,22.2776,mean
shufflenet_v2_x1_0,64,0,4,0.662,0.312,0.364,54,95th
shufflenet_v2_x1_0,64,0,4,0.792,0.392,0.454,62,99th
resnet50,128,0,16,0.907872,0.411291,0.502399,98.3688,mean
resnet50,128,0,16,0.962,0.569,0.688,100,95th
resnet50,128,0,16,0.972,0.618,0.712,100,99th
mobilenet_v2,64,0,4,0.462245,0.255491,0.28287,55.3979,mean
mobilenet_v2,64,0,4,0.919,0.589,0.714,97,95th
mobilenet_v2,64,0,4,0.932,0.635,0.766,98,99th
shufflenet_v2_x1_0,128,0,2,0.0823649,0.0404497,0.0486424,10.8471,mean
shufflenet_v2_x1_0,128,0,2,0.831,0.397,0.462,39,95th
shufflenet_v2_x1_0,128,0,2,0.898,0.449,0.569,63,99th
resnet18,256,0,4,0.358657,0.148965,0.184214,40.1029,mean
resnet18,256,0,4,0.963,0.469,0.593,99,95th
resnet18,256,0,4,0.98,0.756,0.728,100,99th
shufflenet_v2_x1_0,64,0,1,0.0416962,0.0196625,0.0220084,5.78736,mean
shufflenet_v2_x1_0,64,0,1,0.373,0.179,0.206,21,95th
shufflenet_v2_x1_0,64,0,1,0.735,0.337,0.379,21,99th
shufflenet_v2_x1_0,16,0,4,0.136038,0.051452,0.0469431,22.7913,mean
shufflenet_v2_x1_0,16,0,4,0.264,0.109,0.113,25,95th
shufflenet_v2_x1_0,16,0,4,0.283,0.117,0.119,26,99th
shufflenet_v2_x1_0,32,0,16,0.231846,0.0975322,0.107272,34.5606,mean
shufflenet_v2_x1_0,32,0,16,0.489,0.218,0.251,38,95th
shufflenet_v2_x1_0,32,0,16,0.519,0.231,0.26,40,99th
resnet18,32,0,1,0.10101,0.0367263,0.0504029,11.5835,mean
resnet18,32,0,1,0.828,0.282,0.406,20,95th
resnet18,32,0,1,0.906,0.349,0.475,20,99th
shufflenet_v2_x1_0,256,0,16,0.71793,0.367468,0.459197,93.029,mean
shufflenet_v2_x1_0,256,0,16,0.934,0.522,0.693,99,95th
shufflenet_v2_x1_0,256,0,16,0.943,0.539,0.722,99,99th
shufflenet_v2_x1_0,32,0,1,0.0420691,0.0174165,0.0184062,6.3603,mean
shufflenet_v2_x1_0,32,0,1,0.26,0.101,0.121,12,95th
shufflenet_v2_x1_0,32,0,1,0.513,0.224,0.25,12,99th
mobilenet_v2,16,0,2,0.243867,0.120614,0.120698,31.2635,mean
