开始GDS批量测试
GPU设备: 0
基础目录: /mnt/beegfs
======================================
正在测试: 1KB 文件大小
目录路径: /mnt/beegfs/test_dir_1KB_10428_1000
输出文件: output_multi.csv
设置IOSIZE: 32KB = 32768 字节
使用线程数: 1
找到 1000 个文件
预分配文件资源...
资源预分配完成，耗时: 2308 ms
成功分配资源文件数: 1000/1000
开始多线程读操作测试...
完成: file_10141.txt (1 KB, 7.28 ms)
完成: file_1059.txt (1 KB, 9.01 ms)
完成: file_10335.txt (1 KB, 0.96 ms)
完成: file_10110.txt (1 KB, 0.51 ms)
完成: file_10258.txt (1 KB, 9.85 ms)
完成: file_10161.txt (1 KB, 7.15 ms)
完成: file_1216.txt (1 KB, 27.20 ms)
完成: file_1441.txt (1 KB, 1.00 ms)
完成: file_1190.txt (1 KB, 0.78 ms)
完成: file_102.txt (1 KB, 9.00 ms)
完成: file_10233.txt (1 KB, 0.72 ms)
完成: file_1432.txt (1 KB, 1.28 ms)
完成: file_10107.txt (1 KB, 16.41 ms)
完成: file_1239.txt (1 KB, 9.38 ms)
完成: file_1013.txt (1 KB, 15.66 ms)
完成: file_1040.txt (1 KB, 7.63 ms)
完成: file_1063.txt (1 KB, 0.53 ms)
完成: file_1490.txt (1 KB, 8.36 ms)
完成: file_10156.txt (1 KB, 9.07 ms)
完成: file_10.txt (1 KB, 0.84 ms)
完成: file_10268.txt (1 KB, 8.12 ms)
完成: file_1411.txt (1 KB, 8.72 ms)
完成: file_1171.txt (1 KB, 0.73 ms)
完成: file_1221.txt (1 KB, 47.84 ms)
完成: file_10398.txt (1 KB, 17.98 ms)
完成: file_10072.txt (1 KB, 0.32 ms)
完成: file_1263.txt (1 KB, 10.75 ms)
完成: file_1003.txt (1 KB, 41.06 ms)
完成: file_1046.txt (1 KB, 9.15 ms)
完成: file_10066.txt (1 KB, 7.96 ms)
完成: file_1503.txt (1 KB, 8.37 ms)
完成: file_120.txt (1 KB, 24.58 ms)
完成: file_10005.txt (1 KB, 0.45 ms)
完成: file_10424.txt (1 KB, 9.21 ms)
完成: file_10318.txt (1 KB, 0.49 ms)
完成: file_1313.txt (1 KB, 9.25 ms)
完成: file_1138.txt (1 KB, 9.54 ms)
完成: file_1334.txt (1 KB, 9.40 ms)
完成: file_1312.txt (1 KB, 15.37 ms)
完成: file_1462.txt (1 KB, 15.29 ms)
完成: file_10237.txt (1 KB, 7.35 ms)
完成: file_1083.txt (1 KB, 16.36 ms)
完成: file_1267.txt (1 KB, 9.45 ms)
完成: file_10188.txt (1 KB, 9.05 ms)
完成: file_1298.txt (1 KB, 7.43 ms)
完成: file_10277.txt (1 KB, 7.10 ms)
完成: file_10379.txt (1 KB, 7.60 ms)
完成: file_10329.txt (1 KB, 7.79 ms)
完成: file_1036.txt (1 KB, 0.55 ms)
完成: file_10003.txt (1 KB, 7.83 ms)
完成: file_10262.txt (1 KB, 9.60 ms)
完成: file_10051.txt (1 KB, 8.01 ms)
完成: file_10086.txt (1 KB, 9.41 ms)
完成: file_1189.txt (1 KB, 0.69 ms)
完成: file_10285.txt (1 KB, 76.69 ms)
完成: file_10197.txt (1 KB, 9.94 ms)
完成: file_1500.txt (1 KB, 0.48 ms)
完成: file_140.txt (1 KB, 17.64 ms)
完成: file_1309.txt (1 KB, 8.25 ms)
完成: file_10295.txt (1 KB, 70.04 ms)
完成: file_1417.txt (1 KB, 9.85 ms)
完成: file_13.txt (1 KB, 17.64 ms)
完成: file_1147.txt (1 KB, 0.47 ms)
完成: file_10042.txt (1 KB, 1.16 ms)
完成: file_1017.txt (1 KB, 0.34 ms)
完成: file_1448.txt (1 KB, 10.03 ms)
完成: file_1047.txt (1 KB, 0.30 ms)
完成: file_1203.txt (1 KB, 10.03 ms)
完成: file_1307.txt (1 KB, 9.50 ms)
完成: file_10421.txt (1 KB, 24.61 ms)
完成: file_1330.txt (1 KB, 0.81 ms)
完成: file_1254.txt (1 KB, 1.05 ms)
完成: file_10131.txt (1 KB, 15.20 ms)
完成: file_1349.txt (1 KB, 9.56 ms)
完成: file_1400.txt (1 KB, 17.55 ms)
完成: file_1175.txt (1 KB, 7.53 ms)
完成: file_10030.txt (1 KB, 9.27 ms)
完成: file_10045.txt (1 KB, 0.67 ms)
完成: file_1393.txt (1 KB, 0.82 ms)
完成: file_10412.txt (1 KB, 45.80 ms)
完成: file_10394.txt (1 KB, 32.37 ms)
完成: file_10303.txt (1 KB, 15.75 ms)
完成: file_10250.txt (1 KB, 8.50 ms)
完成: file_1331.txt (1 KB, 1.33 ms)
完成: file_10291.txt (1 KB, 10.24 ms)
完成: file_1130.txt (1 KB, 9.96 ms)
完成: file_1039.txt (1 KB, 19.02 ms)
完成: file_10114.txt (1 KB, 10.00 ms)
完成: file_1107.txt (1 KB, 25.89 ms)
完成: file_10053.txt (1 KB, 0.64 ms)
完成: file_1501.txt (1 KB, 0.70 ms)
完成: file_10239.txt (1 KB, 9.73 ms)
完成: file_1106.txt (1 KB, 0.70 ms)
完成: file_10227.txt (1 KB, 18.35 ms)
完成: file_10113.txt (1 KB, 18.28 ms)
完成: file_10031.txt (1 KB, 18.51 ms)
完成: file_1070.txt (1 KB, 9.47 ms)
完成: file_10245.txt (1 KB, 9.45 ms)
完成: file_10228.txt (1 KB, 0.38 ms)
完成: file_10047.txt (1 KB, 25.35 ms)
完成: file_1008.txt (1 KB, 17.98 ms)
完成: file_1438.txt (1 KB, 16.64 ms)
完成: file_10391.txt (1 KB, 9.53 ms)
完成: file_10249.txt (1 KB, 0.37 ms)
完成: file_10393.txt (1 KB, 7.63 ms)
完成: file_10407.txt (1 KB, 18.65 ms)
完成: file_10264.txt (1 KB, 9.61 ms)
完成: file_10428.txt (1 KB, 0.57 ms)
完成: file_10069.txt (1 KB, 0.35 ms)
完成: file_10235.txt (1 KB, 7.95 ms)
完成: file_1317.txt (1 KB, 10.48 ms)
完成: file_1064.txt (1 KB, 9.19 ms)
完成: file_1185.txt (1 KB, 18.67 ms)
完成: file_1506.txt (1 KB, 16.71 ms)
完成: file_1220.txt (1 KB, 9.78 ms)
完成: file_10276.txt (1 KB, 9.67 ms)
