测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9302.41,1.12,9.08,10428,10428,10.18,0.50
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8423.26,1.24,8.23,10428,10428,10.18,1.08
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8146.88,1.28,7.96,10428,10428,10.18,2.22
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8121.50,1.28,7.93,10428,10428,10.18,4.33
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7817.09,1.33,7.63,10428,10428,10.18,8.55
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7578.49,1.38,7.40,10428,10428,10.18,16.87
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7297.41,1.43,7.13,10428,10428,10.18,33.57
/mnt/nvme0/test_dir_1KB_10428,1,32KB,24710.90,0.42,24.13,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,21456.79,0.49,20.95,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,28569.86,0.36,27.90,10428,10428,10.18,0.04
/mnt/nvme0/test_dir_1KB_10428,8,32KB,15312.78,0.68,14.95,10428,10428,10.18,0.13
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9727.61,1.07,9.50,10428,10428,10.18,0.46
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8844.78,1.18,8.64,10428,10428,10.18,1.01
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8575.66,1.22,8.37,10428,10428,10.18,2.08
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8153.24,1.28,7.96,10428,10428,10.18,4.28
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7936.07,1.31,7.75,10428,10428,10.18,8.45
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7747.40,1.35,7.57,10428,10428,10.18,17.12
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7022.22,1.49,6.86,10428,10428,10.18,35.83
/mnt/nvme0/test_dir_1KB_10428,1,32KB,24083.14,0.43,23.52,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,14728.81,0.71,14.38,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,33104.76,0.32,32.33,10428,10428,10.18,0.04
/mnt/nvme0/test_dir_1KB_10428,8,32KB,15471.81,0.67,15.11,10428,10428,10.18,0.11
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9921.98,1.05,9.69,10428,10428,10.18,0.46
/mnt/nvme0/test_dir_1KB_10428,32,32KB,9123.36,1.14,8.91,10428,10428,10.18,0.98
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8575.66,1.22,8.37,10428,10428,10.18,2.04
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7707.32,1.35,7.53,10428,10428,10.18,4.44
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7828.83,1.33,7.65,10428,10428,10.18,8.73
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7589.52,1.37,7.41,10428,10428,10.18,17.70
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,6883.17,1.51,6.72,10428,10428,10.18,36.20
/mnt/nvme0/test_dir_1KB_10428,1,32KB,24594.34,0.42,24.02,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,24769.60,0.42,24.19,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,15752.27,0.66,15.38,10428,10428,10.18,0.05
/mnt/nvme0/test_dir_1KB_10428,8,32KB,20772.91,0.50,20.29,10428,10428,10.18,0.10
/mnt/nvme0/test_dir_1KB_10428,16,32KB,8897.61,1.17,8.69,10428,10428,10.18,0.52
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8457.42,1.23,8.26,10428,10428,10.18,1.10
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8243.48,1.26,8.05,10428,10428,10.18,2.20
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7948.17,1.31,7.76,10428,10428,10.18,4.37
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7639.56,1.36,7.46,10428,10428,10.18,9.16
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7936.07,1.31,7.75,10428,10428,10.18,16.33
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,6975.25,1.50,6.81,10428,10428,10.18,36.01
/mnt/nvme0/test_dir_1KB_10428,1,32KB,16370.49,0.64,15.99,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,21501.03,0.48,21.00,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,14584.62,0.71,14.24,10428,10428,10.18,0.06
