测试目录,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,256KB,1212.57,0.84,1212.57,1024,1024,1024.00,0.82
/mnt/beegfs/test_dir_1MB_1024,512KB,1063.10,0.96,1063.10,1024,1024,1024.00,0.94
/mnt/beegfs/test_dir_1MB_1024,512B,1564.73,0.65,1564.73,1024,1024,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,1KB,1562.65,0.66,1562.65,1024,1024,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,2KB,1618.05,0.63,1618.05,1024,1024,1024.00,0.62
/mnt/beegfs/test_dir_1MB_1024,4KB,1642.66,0.62,1642.66,1024,1024,1024.00,0.61
/mnt/beegfs/test_dir_1MB_1024,8KB,1499.07,0.68,1499.07,1024,1024,1024.00,0.67
/mnt/beegfs/test_dir_1MB_1024,16KB,1521.17,0.67,1521.17,1024,1024,1024.00,0.66
/mnt/beegfs/test_dir_1MB_1024,32KB,1641.03,0.62,1641.03,1024,1024,1024.00,0.61
/mnt/beegfs/test_dir_1MB_1024,64KB,1400.38,0.73,1400.38,1024,1024,1024.00,0.71
/mnt/beegfs/test_dir_1MB_1024,128KB,1397.11,0.73,1397.11,1024,1024,1024.00,0.72
/mnt/beegfs/test_dir_1MB_1024,256KB,1218.90,0.84,1218.90,1024,1024,1024.00,0.82
/mnt/beegfs/test_dir_1MB_1024,512KB,1035.38,0.99,1035.38,1024,1024,1024.00,0.97
/mnt/beegfs/test_dir_1MB_1024,512B,1662.00,0.62,1662.00,1024,1024,1024.00,0.60
/mnt/beegfs/test_dir_1MB_1024,1KB,1656.94,0.62,1656.94,1024,1024,1024.00,0.60
/mnt/beegfs/test_dir_1MB_1024,2KB,1598.81,0.64,1598.81,1024,1024,1024.00,0.63
/mnt/beegfs/test_dir_1MB_1024,4KB,1713.71,0.60,1713.71,1024,1024,1024.00,0.58
/mnt/beegfs/test_dir_1MB_1024,8KB,1527.07,0.67,1527.07,1024,1024,1024.00,0.65
/mnt/beegfs/test_dir_1MB_1024,16KB,1664.80,0.62,1664.80,1024,1024,1024.00,0.60
/mnt/beegfs/test_dir_1MB_1024,32KB,1426.80,0.72,1426.80,1024,1024,1024.00,0.70
/mnt/beegfs/test_dir_1MB_1024,64KB,1411.33,0.73,1411.33,1024,1024,1024.00,0.71
/mnt/beegfs/test_dir_1MB_1024,128KB,1518.44,0.67,1518.44,1024,1024,1024.00,0.66
/mnt/beegfs/test_dir_1MB_1024,256KB,1386.69,0.74,1386.69,1024,1024,1024.00,0.72
/mnt/beegfs/test_dir_1MB_1024,512KB,1103.23,0.93,1103.23,1024,1024,1024.00,0.91
/mnt/beegfs/test_dir_1MB_1024,512B,1645.96,0.62,1645.96,1024,1024,1024.00,0.61
/mnt/beegfs/test_dir_1MB_1024,1KB,1701.47,0.60,1701.47,1024,1024,1024.00,0.59
/mnt/beegfs/test_dir_1MB_1024,2KB,1838.81,0.56,1838.81,1024,1024,1024.00,0.54
/mnt/beegfs/test_dir_1MB_1024,4KB,1667.04,0.61,1667.04,1024,1024,1024.00,0.60
/mnt/beegfs/test_dir_1MB_1024,8KB,1549.37,0.66,1549.37,1024,1024,1024.00,0.65
/mnt/beegfs/test_dir_1MB_1024,16KB,1476.09,0.69,1476.09,1024,1024,1024.00,0.68
/mnt/beegfs/test_dir_1MB_1024,32KB,1624.20,0.63,1624.20,1024,1024,1024.00,0.62
