Directory,Max Workers,Total Time(s)
/mnt/beegfs/test_dir_1KB_10428,128,2.063560009
/mnt/beegfs/test_dir_1KB_10428,128,2.445932627
/mnt/beegfs/test_dir_1KB_10428,128,2.483006716
/mnt/beegfs/test_dir_1KB_10428,128,2.139327049
/mnt/beegfs/test_dir_1KB_10428,128,1.874916792
/mnt/beegfs/test_dir_1KB_10428,128,2.195535183
/mnt/beegfs/test_dir_1KB_10428,128,2.443457842
/mnt/beegfs/test_dir_1KB_10428,128,1.968250275
/mnt/beegfs/test_dir_1KB_10428,128,2.856131554
/mnt/beegfs/test_dir_1KB_10428,128,2.747543812
/mnt/beegfs/test_dir_1KB_10428,128,2.105575323
/mnt/beegfs/test_dir_1KB_10428,128,1.882150888
/mnt/beegfs/test_dir_1KB_10428,128,1.823881865
/mnt/beegfs/test_dir_1KB_10428,128,2.113129616
/mnt/beegfs/test_dir_1KB_10428,128,1.842876434
/mnt/beegfs/test_dir_1KB_10428,256,1.886086941
/mnt/beegfs/test_dir_1KB_10428,256,2.032495737
/mnt/beegfs/test_dir_1KB_10428,256,1.682710886
/mnt/beegfs/test_dir_1KB_10428,256,2.485584021
/mnt/beegfs/test_dir_1KB_10428,256,1.973229885
/mnt/beegfs/test_dir_1KB_10428,256,1.804614305
/mnt/beegfs/test_dir_1KB_10428,256,2.294631243
/mnt/beegfs/test_dir_1KB_10428,256,1.837860346
