IOSize (KB),Threads,Throughput (GiB/sec),IOPS
1,16,0.026076,27342.667776
1,32,0.029295,30718.03392
1,64,0.022961,24076.353536
1,128,0.013739,14406.385664
1,256,0.000767,804.257792
2,1,0.005237,2745.696256
2,2,0.006503,3409.444864
2,4,0.012836,6729.760768
2,8,0.025673,13460.045824
2,16,0.054501,28574.220288
2,32,0.056224,29477.568512
2,64,0.042154,22100.836352
2,128,0.025081,13149.667328
2,256,0.001503,788.004864
4,1,0.012422,3256.352768
4,2,0.021191,5555.093504
4,4,0.037912,9938.403328
4,8,0.065164,17082.351616
4,16,0.100512,26348.617728
4,32,0.118096,30958.157824
4,64,0.083841,21978.415104
4,128,0.048596,12739.149824
4,256,0.02315,6068.6336
8,1,0.021851,2864.054272
8,2,0.038756,5079.826432
8,4,0.091616,12008.292352
8,8,0.145328,19048.431616
8,16,0.215004,28181.004288
8,32,0.223795,29333.25824
8,64,0.166634,21841.051648
8,128,0.090504,11862.540288
8,256,0.039065,5120.32768
16,1,0.030564,2003.042304
16,2,0.05792,3795.84512
16,4,0.122299,8014.987264
16,8,0.223485,14646.31296
16,16,0.372933,24440.537088
16,32,0.395435,25915.22816
16,64,0.297395,19490.07872
16,128,0.16383,10736.76288
16,256,0.063911,4188.471296
0.5,1,0.000884,1853.882368
0.5,2,0.001699,3563.061248
0.5,4,0.003419,7170.162688
0.5,8,0.006653,13952.352256
0.5,16,0.013699,28728.885248
0.5,32,0.014827,31094.472704
0.5,64,0.01191,24977.08032
0.5,128,0.00857,17972.59264
0.5,256,0.000386,809.500672
1,1,0.002013,2110.783488
1,2,0.003766,3948.937216
1,4,0.010376,10880.024576
1,8,0.012417,13020.168192
1,16,0.025418,26652.704768
1,32,0.029056,30467.424256
1,64,0.023394,24530.386944
1,128,0.014375,15073.28
1,256,0.000774,811.597824
2,1,0.005501,2884.108288
2,2,0.006749,3538.419712
2,4,0.013382,7016.022016
2,8,0.024613,12904.300544
2,16,0.052661,27609.530368
2,32,0.063293,33183.760384
2,64,0.046444,24350.031872
2,128,0.02598,13621.00224
2,256,0.001406,737.148928
4,1,0.011807,3095.134208
4,2,0.021341,5594.415104
4,4,0.03868,10139.72992
4,8,0.06188,16221.47072
4,16,0.097387,25529.417728
4,32,0.117878,30901.010432
4,64,0.0959,25139.6096
4,128,0.046851,12281.708544
4,256,0.023214,6085.410816
8,1,0.020568,2695.888896
8,2,0.039761,5211.553792
8,4,0.081657,10702.946304
8,8,0.116073,15213.920256
8,16,0.197267,25856.180224
8,32,0.215345,28225.69984
8,64,0.160284,21008.744448
8,128,0.091114,11942.494208
8,256,0.044184,5791.285248
16,1,0.030998,2031.484928
16,2,0.056354,3693.215744
16,4,0.11284,7395.08224
16,8,0.191037,12519.800832
16,16,0.351627,23044.227072
16,32,0.402722,26392.788992
16,64,0.289776,18990.759936
16,128,0.155897,10216.865792
16,256,0.06739,4416.47104
0.5,1,0.000874,1832.910848
0.5,2,0.001672,3506.438144
0.5,4,0.003391,7111.442432
0.5,8,0.006921,14514.388992
0.5,16,0.014367,30129.782784
0.5,32,0.015834,33206.304768
0.5,64,0.011529,24178.065408
0.5,128,0.008396,17607.688192
0.5,256,0.000366,767.557632
1,1,0.00201,2107.63776
1,2,0.003443,3610.247168
1,4,0.007067,7410.286592
1,8,0.012295,12892.24192
1,16,0.027689,29034.020864
1,32,0.030286,31757.172736
1,64,0.023993,25158.483968
1,128,0.014723,15438.184448
1,256,0.000741,776.994816
2,1,0.005168,2709.520384
2,2,0.006343,3325.558784
2,4,0.013496,7075.790848
2,8,0.029579,15507.914752
2,16,0.052433,27489.992704
2,32,0.067139,35200.172032
2,64,0.047236,24765.267968
2,128,0.02543,13332.64384
2,256,0.00142,744.48896
4,1,0.012407,3252.420608
4,2,0.02166,5678.03904
4,4,0.028319,7423.655936
4,8,0.070369,18446.811136
4,16,0.103392,27103.592448
4,32,0.112246,29424.615424
4,64,0.085465,22404.13696
4,128,0.046279,12131.762176
4,256,0.02178,5709.49632
8,1,0.023783,3117.285376
8,2,0.038583,5057.150976
8,4,0.08225,10780.672
8,8,0.156269,20482.490368
8,16,0.184695,24208.34304
8,32,0.226525,29691.0848
8,64,0.167079,21899.378688
8,128,0.089608,11745.099776
8,256,0.042116,5520.228352
16,1,0.028595,1874.00192
16,2,0.056066,3674.341376
16,4,0.102368,6708.789248
16,8,0.19151,12550.79936
16,16,0.366717,24033.165312
16,32,0.410731,26917.666816
16,64,0.298283,19548.274688
16,128,0.158835,10409.41056
16,256,0.057997,3800.891392
0.5,1,0.000884,1853.882368
0.5,2,0.001713,3592.421376
0.5,4,0.003374,7075.790848
0.5,8,0.006776,14210.301952
0.5,16,0.012971,27202.158592
0.5,32,0.015439,32377.929728
0.5,64,0.011515,24148.70528
0.5,128,0.008655,18150.85056
0.5,256,0.000379,794.820608
1,1,0.002,2097.152
1,2,0.003338,3500.146688
1,4,0.006669,6992.953344
1,8,0.012327,12925.796352
1,16,0.02596,27221.03296
1,32,0.033097,34704.719872
1,64,0.023062,24182.259712
1,128,0.014079,14762.901504
1,256,0.000751,787.480576
2,1,0.004972,2606.759936
2,2,0.006523,3419.930624
2,4,0.013046,6839.861248
2,8,0.024229,12702.973952
2,16,0.050031,26230.652928
2,32,0.056805,29782.17984
2,64,0.045927,24078.974976
2,128,0.024849,13028.032512
2,256,0.001408,738.197504
4,1,0.012623,3309.043712
4,2,0.021056,5519.704064
4,4,0.028168,7384.072192
4,8,0.060075,15748.3008
4,16,0.106509,27920.695296
4,32,0.12487,32733.92128
4,64,0.092963,24369.692672
4,128,0.049111,12874.153984
4,256,0.021443,5621.153792
8,1,0.023351,3060.662272
8,2,0.04188,5489.29536
8,4,0.091438,11984.961536
8,8,0.18113,23741.07136
8,16,0.179953,23586.799616
8,32,0.234303,30710.562816
