batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
16,8,1,0.006572598277932346,0.002071857452392578,0.42419862747192383,0.0024061203002929688,0.0029058456420898438,0.1385096819093912,0.10374808311462402,0.5689771175384521,0.13445210456848145,0.17988061904907227,0.0009344261471587832,0.0008981227874755859,0.0011899471282958984,0.0009298324584960938,0.0009946823120117188
16,8,1,0.006520684402767975,0.002100229263305664,0.40906858444213867,0.002552509307861328,0.0028548240661621094,0.14750781861862333,0.10320568084716797,0.5820326805114746,0.14759302139282227,0.18554353713989258,0.0009317846581487373,0.0008966922760009766,0.0011475086212158203,0.0009300708770751953,0.0009717941284179688
32,8,1,0.009748626638341832,0.0026335716247558594,0.5386123657226562,0.003045320510864258,0.11127777099609527,0.13337623042824828,0.10290861129760742,0.596060037612915,0.1317892074584961,0.26368603706359983,0.0016790525412853853,0.00160980224609375,0.0024547576904296875,0.001668691635131836,0.0019138336181640644
64,8,1,0.029069805145263673,0.004019498825073242,0.9896647930145264,0.004441499710083008,0.6055616044998163,0.14718658924102784,0.10869073867797852,0.619699239730835,0.13827013969421387,0.44513593435287446,0.0031544089317321776,0.0030984878540039062,0.004164457321166992,0.0031332969665527344,0.00377439260482788
128,8,1,0.0758407711982727,0.0070018768310546875,1.3747034072875977,0.007704496383666992,1.1150095367431623,0.1992814302444458,0.12219810485839844,1.0225975513458252,0.15826809406280518,0.8698405599594106,0.006123316287994385,0.00606536865234375,0.006838798522949219,0.006089329719543457,0.006700408458709716
256,8,1,0.3273613929748535,0.012275934219360352,3.1598961353302,0.012447476387023926,2.87672610282898,0.25079689025878904,0.1518411636352539,0.7349545955657959,0.18467235565185547,0.6999440860748292,0.012023019790649413,0.011901617050170898,0.01286005973815918,0.011926054954528809,0.012780966758728028
512,8,1,1.165208101272583,0.024080514907836914,5.728212356567383,0.024671554565429688,5.500082263946533,0.40534372329711915,0.21262812614440918,0.8356983661651611,0.2453296184539795,0.8221179580688477,0.023912620544433594,0.023713350296020508,0.024549245834350586,0.023770570755004883,0.024519891738891603
16,8,1,0.007884492968568708,0.0016326904296875,0.5651648044586182,0.002218008041381836,0.0028603076934814453,0.1567471428672866,0.11355710029602051,0.5976066589355469,0.15400290489196777,0.1993863582611084,0.0009244739419162864,0.000865936279296875,0.00119781494140625,0.0009214878082275391,0.0009596347808837891
32,8,1,0.009872167417318514,0.002700328826904297,0.6677072048187256,0.00336456298828125,0.0041217803955078125,0.14704643617762198,0.11326146125793457,0.6344573497772217,0.14239144325256348,0.1810457706451416,0.0016759905484643313,0.0016238689422607422,0.0024766921997070312,0.0016646385192871094,0.0019066333770751953
128,8,1,0.024277252726035543,0.007124185562133789,1.6842224597930908,0.007653236389160156,0.008408546447753906,0.17806769597648395,0.13420891761779785,1.0021390914916992,0.16504144668579102,0.24225687980651855,0.006109506777017423,0.006036043167114258,0.00704193115234375,0.00610041618347168,0.006155490875244141
256,8,1,0.056337474596382366,0.012983083724975586,4.314844131469727,0.013719558715820312,0.01627635955810547,0.2138229785579266,0.16291213035583496,0.6883745193481445,0.21496105194091797,0.36074185371398926,0.01202659559721994,0.011906623840332031,0.014388561248779297,0.011987447738647461,0.01306295394897461
512,8,1,0.11119538250536022,0.024296998977661133,6.975916624069214,0.024942398071289062,0.37089037895202637,0.27811233123930373,0.2232072353363037,1.0871350765228271,0.27393484115600586,0.5295779705047607,0.023777406994659123,0.023698806762695312,0.02495741844177246,0.023746013641357422,0.024666309356689453
64,8,1,0.014230260754575823,0.003828287124633789,0.9619529247283936,0.004795551300048828,0.006051778793334961,0.15666840100052334,0.11699986457824707,0.7471745014190674,0.1474616527557373,0.2223813533782959,0.003156357472485835,0.0030889511108398438,0.003935575485229492,0.003141164779663086,0.003607034683227539
16,8,1,0.006940171270087214,0.001783609390258789,0.4645402431488037,0.002286672592163086,0.003859281539916992,0.15517974844073304,0.1151578426361084,0.714564323425293,0.14797186851501465,0.22455096244812012,0.000942749552207418,0.0008463859558105469,0.001340627670288086,0.0009357929229736328,0.0011641979217529297
16,8,1,0.006479820402541963,0.001680612564086914,0.42047977447509766,0.0023005008697509766,0.0030508041381835938,0.1612380896464433,0.11616873741149902,0.7039022445678711,0.15582680702209473,0.27771496772766113,0.0009273255225455407,0.0008537769317626953,0.0011303424835205078,0.0009293556213378906,0.0009818077087402344
16,8,1,0.00655884317832418,0.00180816650390625,0.4270205497741699,0.0022678375244140625,0.0027692317962646484,0.16860163565909508,0.11921286582946777,0.7391211986541748,0.15901732444763184,0.28855228424072266,0.000942976167886564,0.0008552074432373047,0.0013022422790527344,0.0009388923645019531,0.0009808540344238281
16,8,1,0.006537343015765199,0.000946044921875,0.5284292697906494,0.0013391971588134766,0.0022606849670410156,0.02685877828314753,0.016028642654418945,0.47600793838500977,0.022374629974365234,0.028218984603881836,0.0008459492485121925,0.0007963180541992188,0.0013120174407958984,0.0008392333984375,0.0009620189666748047
