batch_size,worker_num,prefetch_factor,AVG_data,AVG_train,data_per,MIN_data,MAX_data,Median_data,p99_data,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
32,1,12,0.22987022586897307,0.033103255664601046,0.8741194151153422,0.0016257762908935547,0.5030543804168701,0.23253679275512695,0.4118753671646118,0.020493268966674805,0.48877573013305664,0.023874759674072266,0.26164817810058594,0.001648094139847101,0.0015108585357666016,0.002389669418334961,0.0016314983367919922,0.0020312070846557617
32,1,13,0.22044634819030762,0.032019675946703144,0.8731723365306122,0.0017578601837158203,0.5253961086273193,0.22193098068237305,0.4144550561904907,0.01738595962524414,0.5045044422149658,0.022629737854003906,0.27076756954193115,0.0016359301174388213,0.0015444755554199219,0.002391338348388672,0.0016210079193115234,0.002019047737121582
32,1,14,0.23028307335049497,0.03224953950620165,0.8771598729952647,0.0018024444580078125,0.5029914379119873,0.23180055618286133,0.4083893299102783,0.021564483642578125,0.4657249450683594,0.023342370986938477,0.2503054141998291,0.0016722538891960593,0.001554250717163086,0.003907918930053711,0.0016269683837890625,0.002780914306640625
32,1,15,0.22107664276571834,0.03339810932383818,0.8687566878458557,0.00167083740234375,0.5112583637237549,0.22781991958618164,0.409063458442688,0.020532846450805664,0.547137975692749,0.023020029067993164,0.29089879989624023,0.0016416568382113588,0.001527547836303711,0.002399444580078125,0.0016279220581054688,0.002023458480834961
32,1,16,0.22146260504629098,0.03217909382838829,0.8731316894219058,0.0016853809356689453,0.5349619388580322,0.22356081008911133,0.4166008234024048,0.020145893096923828,0.4931948184967041,0.022839784622192383,0.2640944719314575,0.001639875711179247,0.0015285015106201172,0.0023987293243408203,0.001623392105102539,0.0020335912704467773
32,2,9,0.0894619670568728,0.03301820100522509,0.7304200220521845,0.0016088485717773438,0.5542128086090088,0.00827336311340332,0.400531530380249,0.019048690795898438,0.5913074016571045,0.021284103393554688,0.3130059242248535,0.0016118638655718636,0.0015103816986083984,0.0024988651275634766,0.0015866756439208984,0.0021011829376220703
32,2,10,0.09370527547948501,0.03322008544323491,0.7382707033351564,0.0016224384307861328,0.49780988693237305,0.026240825653076172,0.3697011470794678,0.019686222076416016,0.5829896926879883,0.021957874298095703,0.3087282180786133,0.0016120274861653645,0.0015139579772949219,0.0023894309997558594,0.0016155242919921875,0.002020597457885742
32,2,11,0.09502438002941656,0.033534877440508676,0.739148482182594,0.0016255378723144531,0.5213449001312256,0.07529282569885254,0.3778609037399292,0.0187680721282959,0.5722854137420654,0.022590160369873047,0.3050343990325928,0.001627197452619964,0.0015094280242919922,0.002409219741821289,0.0016169548034667969,0.002124309539794922
32,2,12,0.09770277902191761,0.03192896468966615,0.7536948607225052,0.0016074180603027344,0.5645718574523926,0.0021448135375976562,0.4167604446411133,0.01912522315979004,0.5658655166625977,0.02033543586730957,0.3002200126647949,0.0016675556407255284,0.0015137195587158203,0.004760265350341797,0.0016012191772460938,0.003584742546081543
32,2,13,0.09326723977631214,0.03361945993760053,0.735043467807097,0.0016345977783203125,0.5011482238769531,0.0021767616271972656,0.38640475273132324,0.019034385681152344,0.6188597679138184,0.0212857723236084,0.32653820514678955,0.0016105922998166551,0.0015137195587158203,0.0024499893188476562,0.0015969276428222656,0.0020623207092285156
32,2,14,0.0942212086097867,0.03163822491963705,0.7486225383952599,0.0016074180603027344,0.5415875911712646,0.002166748046875,0.390950083732605,0.01946544647216797,0.5150020122528076,0.020897626876831055,0.27592647075653076,0.0016877417470894608,0.0015087127685546875,0.005227327346801758,0.0015990734100341797,0.0038367509841918945
32,2,15,0.09631963337168974,0.032580660838706824,0.7472413772343508,0.001638174057006836,0.5457949638366699,0.0021522045135498047,0.4046119451522827,0.01900935173034668,0.5901103019714355,0.020488977432250977,0.31399965286254883,0.0016064176372453279,0.0015208721160888672,0.0024013519287109375,0.001583099365234375,0.0020494461059570312
32,2,16,0.09961893511753456,0.03210681092505362,0.7562601701669377,0.0016369819641113281,0.5756967067718506,0.02480483055114746,0.4202233552932739,0.019578933715820312,0.5005931854248047,0.022065162658691406,0.2838484048843384,0.001616361094456093,0.001520395278930664,0.002145528793334961,0.0016200542449951172,0.0019223690032958984
32,4,9,0.03112011797287885,0.03361909997229483,0.4806996278397098,0.0016171932220458984,0.6015810966491699,0.0016973018646240234,0.3960212469100952,0.01911330223083496,0.6836719512939453,0.01987433433532715,0.3589359521865845,0.001569663777070887,0.0015130043029785156,0.0025496482849121094,0.001531362533569336,0.0020972490310668945
32,4,10,0.02763783230501063,0.03464598749198165,0.44374016229404856,0.0016150474548339844,0.5588109493255615,0.001825571060180664,0.36194324493408203,0.019032001495361328,0.6802711486816406,0.020185470581054688,0.36862337589263916,0.0015779757032207415,0.0015125274658203125,0.002488374710083008,0.0015435218811035156,0.002072930335998535
