Method,Directory,ThreadNum,IOSIZE,Total Time(s),IOPS,Throughput(GiB/sec),Filenum,Avg_latancy(ms)
GDS,Beegfs_test_dir_2KB_10428,32,2KB,0.319572,32631.161,0.062239,10428,0.030646
GDS,Beegfs_test_dir_4KB_10428,32,4KB,0.337173,30927.749,0.117980,10428,0.032333
GDS,Beegfs_test_dir_8KB_10428,32,8KB,0.374714,27829.207,0.212320,10428,0.035933
GDS,Beegfs_test_dir_16KB_10428,32,16KB,0.381572,27329.036,0.417008,10428,0.036591
GDS,Beegfs_test_dir_1MB_1024,32,32KB,0.037238,27499.004,0.839203,1024,0.036365
GDS,Beegfs_test_dir_1MB_1024,32,64KB,0.037539,27278.033,1.664919,1024,0.036660
GDS,Beegfs_test_dir_1MB_1024,32,128KB,0.043191,23708.508,2.894105,1024,0.042179
GDS,Beegfs_test_dir_1MB_1024,32,256KB,0.060265,16991.670,4.148357,1024,0.058852
GDS,Beegfs_test_dir_1MB_1024,32,512KB,0.098529,10392.908,5.074662,1024,0.096219
GDS,Beegfs_test_dir_1MB_1024,32,1024KB,0.186036,5504.301,5.375294,1024,0.181676
GDS,Beegfs_test_dir_512B_10428,64,512B,0.361476,28848.423,0.013756,10428,0.034664
GDS,Beegfs_test_dir_1KB_10428,64,1KB,0.341351,30549.213,0.029134,10428,0.032734
GDS,Beegfs_test_dir_2KB_10428,64,2KB,0.385537,27048.018,0.051590,10428,0.036971
GDS,Beegfs_test_dir_4KB_10428,64,4KB,0.392440,26572.227,0.101365,10428,0.037633
GDS,Beegfs_test_dir_8KB_10428,64,8KB,0.495249,21056.061,0.160645,10428,0.047492
GDS,Beegfs_test_dir_16KB_10428,64,16KB,0.458313,22752.985,0.347183,10428,0.043950
GDS,Beegfs_test_dir_1MB_1024,64,32KB,0.052059,19670.008,0.600281,1024,0.050839
GDS,Beegfs_test_dir_1MB_1024,64,64KB,0.053214,19243.172,1.174510,1024,0.051966
GDS,Beegfs_test_dir_1MB_1024,64,128KB,0.054443,18808.570,2.295968,1024,0.053167
GDS,Beegfs_test_dir_1MB_1024,64,256KB,0.064803,15801.696,3.857836,1024,0.063284
GDS,Beegfs_test_dir_1MB_1024,64,512KB,0.099312,10310.959,5.034648,1024,0.096984
GDS,Beegfs_test_dir_1MB_1024,64,1024KB,0.197555,5183.357,5.061872,1024,0.192925
GDS,Beegfs_test_dir_512B_10428,128,512B,0.494526,21086.863,0.010055,10428,0.047423
GDS,Beegfs_test_dir_1KB_10428,128,1KB,0.489849,21288.190,0.020302,10428,0.046974
GDS,Beegfs_test_dir_2KB_10428,128,2KB,0.493826,21116.748,0.040277,10428,0.047356
GDS,Beegfs_test_dir_4KB_10428,128,4KB,0.494047,21107.311,0.080518,10428,0.047377
GDS,Beegfs_test_dir_8KB_10428,128,8KB,0.538907,19350.290,0.147631,10428,0.051679
GDS,Beegfs_test_dir_16KB_10428,128,16KB,0.551528,18907.464,0.288505,10428,0.052889
GDS,Beegfs_test_dir_1MB_1024,128,32KB,0.055402,18483.216,0.564063,1024,0.054103
GDS,Beegfs_test_dir_1MB_1024,128,64KB,0.058328,17555.800,1.071521,1024,0.056961
GDS,Beegfs_test_dir_1MB_1024,128,128KB,0.061849,16556.450,2.021051,1024,0.060399
GDS,Beegfs_test_dir_1MB_1024,128,256KB,0.071867,14248.501,3.478638,1024,0.070183
GDS,Beegfs_test_dir_1MB_1024,128,512KB,0.103833,9861.956,4.815408,1024,0.101400
