Method,Directory,Max Workers,IOSIZE,Total Time(s),IOPS,Bandwidth(GBytes/s),filenum,avg_latancy(ms)
Baseline,/mnt/beegfs/test_dir_4KB_10428,16,4KB,2.390181303,4362.85,0.016642948,10428,0.229208
Baseline,/mnt/beegfs/test_dir_4KB_10428,32,4KB,2.551493406,4087.02,0.015590737,10428,0.244677
Baseline,/mnt/beegfs/test_dir_4KB_10428,64,4KB,2.140356779,4872.08,0.018585529,10428,0.205251
Baseline,/mnt/beegfs/test_dir_4KB_10428,128,4KB,2.461793900,4235.94,0.016158811,10428,0.236075
Baseline,/mnt/beegfs/test_dir_4KB_10428,256,4KB,1.995518684,5225.71,0.019934498,10428,0.191362
Baseline,/mnt/beegfs/test_dir_4KB_10428,512,4KB,1.964818239,5307.36,0.020245976,10428,0.188418
Baseline,/mnt/beegfs/test_dir_4KB_10428,1024,4KB,2.069203615,5039.62,0.019224625,10428,0.198428
Baseline,/mnt/beegfs/test_dir_8KB_10428,1,8KB,19.745807409,528.11,0.004029176,10428,1.893537
Baseline,/mnt/beegfs/test_dir_8KB_10428,2,8KB,7.925436735,1315.76,0.010038478,10428,0.760015
Baseline,/mnt/beegfs/test_dir_8KB_10428,4,8KB,4.066012621,2564.67,0.019566916,10428,0.389913
Baseline,/mnt/beegfs/test_dir_8KB_10428,8,8KB,2.415975094,4316.27,0.032930524,10428,0.231682
Baseline,/mnt/beegfs/test_dir_8KB_10428,16,8KB,2.842226982,3668.95,0.027991897,10428,0.272557
Baseline,/mnt/beegfs/test_dir_8KB_10428,32,8KB,2.717528820,3837.31,0.029276350,10428,0.260599
Baseline,/mnt/beegfs/test_dir_8KB_10428,64,8KB,2.200897217,4738.07,0.036148588,10428,0.211057
Baseline,/mnt/beegfs/test_dir_8KB_10428,128,8KB,2.555160761,4081.15,0.031136720,10428,0.245029
Baseline,/mnt/beegfs/test_dir_8KB_10428,256,8KB,2.250020504,4634.62,0.035359378,10428,0.215767
Baseline,/mnt/beegfs/test_dir_8KB_10428,512,8KB,2.155847788,4837.08,0.036903963,10428,0.206736
Baseline,/mnt/beegfs/test_dir_8KB_10428,1024,8KB,2.171696663,4801.78,0.036634640,10428,0.208256
Baseline,/mnt/beegfs/test_dir_16KB_10428,1,16KB,20.242233038,515.16,0.007860726,10428,1.941142
Baseline,/mnt/beegfs/test_dir_16KB_10428,2,16KB,8.324872732,1252.63,0.019113644,10428,0.798319
Baseline,/mnt/beegfs/test_dir_16KB_10428,4,16KB,4.529047966,2302.47,0.035132914,10428,0.434316
Baseline,/mnt/beegfs/test_dir_16KB_10428,8,16KB,2.598156452,4013.62,0.061242906,10428,0.249152
Baseline,/mnt/beegfs/test_dir_16KB_10428,16,16KB,3.148294687,3312.27,0.050541219,10428,0.301908
Baseline,/mnt/beegfs/test_dir_16KB_10428,32,16KB,2.969586611,3511.60,0.053582762,10428,0.284770
Baseline,/mnt/beegfs/test_dir_16KB_10428,64,16KB,2.680927038,3889.70,0.059352101,10428,0.257089
Baseline,/mnt/beegfs/test_dir_16KB_10428,128,16KB,2.607694864,3998.93,0.061018892,10428,0.250067
Baseline,/mnt/beegfs/test_dir_16KB_10428,256,16KB,2.468227625,4224.89,0.064466766,10428,0.236692
Baseline,/mnt/beegfs/test_dir_16KB_10428,512,16KB,2.347649574,4441.89,0.067777855,10428,0.225129
Baseline,/mnt/beegfs/test_dir_16KB_10428,1024,16KB,2.484561205,4197.12,0.064042959,10428,0.238259
