Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
 20 th batch,total_time: 0.497408(1.810444),data_time: 0.349963(1.618960),train_time: 0.147445(0.191485)
 21 th batch,total_time: 0.497162(1.750750),data_time: 0.350155(1.561287),train_time: 0.147007(0.189463)
 22 th batch,total_time: 0.506567(1.696655),data_time: 0.359324(1.509027),train_time: 0.147243(0.187627)
 23 th batch,total_time: 0.484974(1.646168),data_time: 0.330107(1.459906),train_time: 0.154867(0.186262)
 24 th batch,total_time: 0.484290(1.599693),data_time: 0.330411(1.414726),train_time: 0.153879(0.184967)
 25 th batch,total_time: 0.499123(1.557363),data_time: 0.352154(1.373858),train_time: 0.146970(0.183506)
 26 th batch,total_time: 0.483827(1.517603),data_time: 0.331727(1.335260),train_time: 0.152100(0.182342)
 27 th batch,total_time: 0.483683(1.480677),data_time: 0.333052(1.299467),train_time: 0.150631(0.181210)
 28 th batch,total_time: 0.502381(1.446943),data_time: 0.355553(1.266918),train_time: 0.146829(0.180024)
 29 th batch,total_time: 0.501547(1.415430),data_time: 0.353364(1.236467),train_time: 0.148183(0.178963)
 30 th batch,total_time: 0.504049(1.386030),data_time: 0.353242(1.207976),train_time: 0.150807(0.178055)
 31 th batch,total_time: 0.482989(1.357810),data_time: 0.328815(1.180502),train_time: 0.154173(0.177308)
 32 th batch,total_time: 0.480715(1.331232),data_time: 0.330755(1.154752),train_time: 0.149960(0.176480)
 33 th batch,total_time: 0.501749(1.306835),data_time: 0.354712(1.131221),train_time: 0.147038(0.175614)
 34 th batch,total_time: 0.481624(1.283258),data_time: 0.331243(1.108365),train_time: 0.150382(0.174893)
 35 th batch,total_time: 0.481458(1.260985),data_time: 0.332261(1.086806),train_time: 0.149197(0.174179)
 36 th batch,total_time: 0.500032(1.240419),data_time: 0.352270(1.066954),train_time: 0.147761(0.173465)
 37 th batch,total_time: 0.494106(1.220779),data_time: 0.346324(1.047990),train_time: 0.147782(0.172789)
 38 th batch,total_time: 0.500912(1.202321),data_time: 0.352317(1.030152),train_time: 0.148596(0.172169)
 39 th batch,total_time: 0.486789(1.184433),data_time: 0.329357(1.012632),train_time: 0.157432(0.171800)
 40 th batch,total_time: 0.482216(1.167306),data_time: 0.330901(0.996005),train_time: 0.151315(0.171301)
