batch_size,worker_num,prefetch_factor,data_per,AVG_data,AVG_train
128,1,12,0.948494448,0.998992359,0.054247711
128,1,13,0.948300666,0.987031189,0.05381084
128,1,14,0.947567704,0.967465999,0.053533339
128,1,15,0.948134278,0.981665695,0.053699989
128,1,16,0.947599054,0.9710109,0.05369559
128,2,1,0.893835338,0.46614315,0.055365824
128,2,2,0.885547407,0.429232008,0.0554761
128,2,3,0.886357743,0.429705536,0.055093676
128,2,4,0.889858608,0.430922957,0.053337074
128,2,5,0.888913478,0.432663829,0.054069514
128,2,6,0.887304506,0.437286195,0.055539201
128,2,7,0.888096323,0.434854905,0.054793451
128,2,8,0.891651998,0.442816809,0.053808343
128,2,9,0.882948993,0.418709587,0.055507599
128,2,10,0.887373987,0.431843529,0.054809827
128,2,11,0.894054603,0.471406581,0.055861641
128,2,12,0.88792169,0.431924885,0.05451991
128,2,13,0.889045728,0.432422708,0.053967018
128,2,14,0.887919453,0.428434695,0.054080575
128,2,15,0.893730562,0.451498055,0.053685581
128,2,16,0.890085684,0.437578122,0.05403536
128,4,1,0.768015118,0.184356919,0.055686427
128,4,2,0.74354008,0.16194726,0.05585843
128,4,3,0.739537191,0.157865786,0.055599862
128,4,4,0.739286355,0.158921536,0.056044607
128,4,5,0.735031759,0.155686304,0.056122644
128,4,6,0.730774862,0.15046346,0.05543232
128,4,7,0.729376277,0.156212152,0.05796009
128,4,8,0.735117821,0.155274396,0.055949426
128,4,9,0.751844771,0.163221256,0.0538731
128,4,10,0.732578196,0.161935582,0.059113287
128,4,11,0.748966863,0.16127095,0.054053596
128,4,12,0.769175318,0.181738124,0.05453847
128,4,13,0.74633737,0.160691299,0.054615217
128,4,14,0.723136,0.152577844,0.058416829
128,4,15,0.756595413,0.170467475,0.054841154
128,4,16,0.742296617,0.159596135,0.055407047
128,8,1,0.534353408,0.063795482,0.055592701
128,8,2,0.388620358,0.04284114,0.067397912
128,8,3,0.367404075,0.038356935,0.066042928
128,8,4,0.327725668,0.035140318,0.072084478
128,8,5,0.37921062,0.042332668,0.069300988
128,8,6,0.420067743,0.047202508,0.065166291
128,8,7,0.416161929,0.045144357,0.063333507
128,8,8,0.414981797,0.043424354,0.061217233
128,8,9,0.348139084,0.035042029,0.065613228
128,8,10,0.348509238,0.032981625,0.061654675
128,8,11,0.349269422,0.036987548,0.068912212
128,8,12,0.410922859,0.046337787,0.066427385
128,8,13,0.325878112,0.034991811,0.07238518
128,8,14,0.383662688,0.040139254,0.064481955
128,8,15,0.40581443,0.045310549,0.066342821
128,8,16,0.415871362,0.043585759,0.061220108
128,16,1,0.315685994,0.035354553,0.076638231
128,16,2,0.387369535,0.049472785,0.078241919
128,16,3,0.286224044,0.034449451,0.08590889
128,16,4,0.398903946,0.058790833,0.088590094
128,16,5,0.384111815,0.058162469,0.093258203
128,16,6,0.345655605,0.048953552,0.09267167
128,16,7,0.361514222,0.058158127,0.102715562
128,16,8,0.322165035,0.047440192,0.099814125
128,16,9,0.294171749,0.038816508,0.093135348
128,16,10,0.329118038,0.050762822,0.103476132
128,16,11,0.356407087,0.055915416,0.10097096
128,16,12,0.273819253,0.036017381,0.095519683
128,16,13,0.263857106,0.032621996,0.09101309
128,16,14,0.375756467,0.057230917,0.095077617
128,16,15,0.404929076,0.064296844,0.094488602
128,16,16,0.396624381,0.064378785,0.097937977
128,32,1,0.428932624,0.060812805,0.080964252
128,32,2,0.437261037,0.067911265,0.087399314
128,32,3,0.446685083,0.075988891,0.094128478
128,32,4,0.425359674,0.068312729,0.09228719
128,32,5,0.350667271,0.053793122,0.099609052
128,32,6,0.322311907,0.044036716,0.092590926
128,32,7,0.324847574,0.045214125,0.093971538
128,32,8,0.427104113,0.068371576,0.091710179
128,32,9,0.464755024,0.074939793,0.086306002
128,32,10,0.489260971,0.086521789,0.090320007
128,32,11,0.450541583,0.069553861,0.084824478
128,32,12,0.509329249,0.090349875,0.087040046
128,32,13,0.353783846,0.053367844,0.097480886
128,32,14,0.301875727,0.040657118,0.094024523
128,32,15,0.404595105,0.060630443,0.08922417
128,32,16,0.519849429,0.090423462,0.083518178
256,1,1,0.958732205,2.044629092,0.088009283
256,1,2,0.956484375,1.939762256,0.08825023
256,1,3,0.957042116,1.957263731,0.087853927
256,1,4,0.957593253,1.969147626,0.087203147
256,1,5,0.957777952,1.984923975,0.087502073
256,1,6,0.957714937,1.974160031,0.087163182
256,1,7,0.958050088,1.99885725,0.087523488
256,1,8,0.956701489,1.932144062,0.087445208
256,1,9,0.958543647,2.035653306,0.088040604
256,1,10,0.958682774,2.034697822,0.087691228
256,1,11,0.958376053,2.025457789,0.087969172
256,1,12,0.958405735,2.033103789,0.088235551
256,1,13,0.958792031,2.036869058,0.087542693
256,1,14,0.958923675,2.042215394,0.087480064
256,1,15,0.958051396,2.002104848,0.087662837
256,1,16,0.958277051,2.011187198,0.087566179
256,2,1,0.911955284,0.933628919,0.090137197
256,2,2,0.907797015,0.886040977,0.089993271
256,2,3,0.905294019,0.864883769,0.090478523
256,2,4,0.912420092,0.885723862,0.085017433
256,2,5,0.907473866,0.857992677,0.087481027
256,2,6,0.904861601,0.860395806,0.090463204
256,2,7,0.904617315,0.867877329,0.091508828
256,2,8,0.905256073,0.861647971,0.090179911
256,2,9,0.904095902,0.859685828,0.091193194
256,2,10,0.909110291,0.907588982,0.090737614
256,2,11,0.910226859,0.891056533,0.087882425
256,2,12,0.908081457,0.893568086,0.090449459
256,2,13,0.90592634,0.874894909,0.090851279
256,2,14,0.90970215,0.909437502,0.09027158
256,2,15,0.908327083,0.899802657,0.09081259
256,2,16,0.910998397,0.899854132,0.087912845
256,4,1,0.806529584,0.380954453,0.091383401
256,4,2,0.781967862,0.334183955,0.093178819
256,4,3,0.785621787,0.341016045,0.093055477
256,4,4,0.775918201,0.329779087,0.095238765
256,4,5,0.774745404,0.309982019,0.09012622
256,4,6,0.7859544,0.328360025,0.089425059
256,4,7,0.784269726,0.335391587,0.092256677
256,4,8,0.778446494,0.326720556,0.092987874
256,4,9,0.794496093,0.340102285,0.087970664
